s,Transaction Date,Transaction Time,Transaction Type,Merchant Category,Geographic Location,Cardholder History,Transaction Amount,Currency,Transaction Status,Cardholder Account Information,Transaction Method
40ea7306-831d-4b86-ad2f-d27532669824,31-07-2023,02:47:00,Online Payment,Online Services,Rodneystad,13,873.49,EUR,Declined,Platinum,Online
971ebf73-f4ff-4103-9393-f7aecc7ba7c4,05-11-2022,00:04:13,ATM Withdrawal,Online Services,North Kevinhaven,15,876.86,USD,Approved,Gold,Physical Card
f913deb5-7e38-42b7-8252-63a9702d0627,12-11-2022,01:09:28,Purchase,Retail,Carrillohaven,7,771.35,GBP,Pending,Platinum,Physical Card
4a1ace95-4077-4713-84ed-133a1b9b4fd8,28-03-2023,20:48:50,Online Payment,Retail,New Nancymouth,12,673.75,USD,Approved,Platinum,Online
86223e39-b6d5-4243-8f3e-555b02f90197,07-03-2023,13:31:17,ATM Withdrawal,Online Services,Fergusonborough,7,682.2,EUR,Declined,Gold,Physical Card
0c5540be-4cea-477a-ae27-575f726c9bed,24-10-2022,19:13:14,Purchase,Retail,Jacksonborough,8,372.35,EUR,Pending,Gold,Online
f9a9ab16-0ad0-428f-8ae1-47e043cc9b05,03-04-2023,17:22:36,ATM Withdrawal,Online Services,Andrewside,18,507.4,GBP,Approved,Gold,Online
fb2ca73c-dd4b-44d7-94c3-08d50287dcad,24-01-2023,22:06:19,Purchase,Retail,Cooperland,3,385.61,EUR,Pending,Standard,Mobile Payment
46edd2a5-e29f-46c3-9c7f-6f269fd8ee96,06-08-2023,23:09:40,Purchase,Retail,Changville,18,495.19,USD,Pending,Gold,Mobile Payment
902eeec1-b7aa-4056-9d8a-b81c9183965a,28-04-2023,12:30:12,Online Payment,Online Services,South Melissashire,19,476.34,USD,Approved,Platinum,Online
ae91ee4c-66ca-46c3-b5ff-f7a03eb873c5,12-01-2023,20:22:48,Purchase,Restaurant,New Holly,17,140.93,GBP,Declined,Standard,Physical Card
79618185-d7d2-40e1-b0a7-a19d4ff9713b,16-03-2023,05:35:28,Online Payment,Restaurant,North Kevinhaven,3,210.12,USD,Declined,Gold,Mobile Payment
85996e1f-cce2-44e9-b624-f7135aea0965,11-09-2023,05:08:18,Online Payment,Restaurant,Johnsonbury,10,148.49,USD,Pending,Standard,Online
db3d1898-1fc8-4b9b-8fc6-f87e7eb47918,11-06-2023,01:14:06,Online Payment,Online Services,Richardport,14,57.68,GBP,Pending,Gold,Online
d6d02fc8-e506-48d2-9651-b489ce76ccf7,17-01-2023,18:42:34,Online Payment,Retail,West Catherine,5,890.41,USD,Declined,Platinum,Physical Card
ce5d26a5-33af-407f-be7f-8f2b46efc029,16-11-2022,15:28:53,Online Payment,Restaurant,South Kevin,7,742.65,EUR,Declined,Gold,Mobile Payment
53b48280-dca6-4699-ad54-ef52804afb70,20-12-2022,04:52:06,Online Payment,Online Services,Spencerberg,5,879.1,USD,Pending,Gold,Online
a963e947-80e9-4352-aa39-3b3ec66b4d64,09-02-2023,07:43:56,Online Payment,Retail,Maldonadohaven,3,491.47,GBP,Declined,Platinum,Online
dfa90bf5-cb60-4a4a-8cbe-ed550b90c4ba,07-11-2022,12:06:26,ATM Withdrawal,Online Services,North Christopher,18,681,EUR,Approved,Platinum,Mobile Payment
30b531bf-cac1-4433-b66c-5999a7469d81,12-03-2023,14:27:26,ATM Withdrawal,Online Services,Jonathonmouth,8,150.45,EUR,Declined,Standard,Physical Card
40523857-2c0b-451b-b0f6-0407e536a4ae,01-02-2023,02:16:55,Purchase,Retail,North Danielleview,2,128.01,EUR,Pending,Standard,Physical Card
0bd84071-383b-487e-94e8-002a0f8407a8,10-02-2023,08:43:54,Purchase,Restaurant,West Kevinfurt,7,857.45,GBP,Declined,Platinum,Physical Card
9dcbf253-58bb-473c-917b-94e680fd2064,10-08-2023,12:49:27,Online Payment,Restaurant,Lake Zacharychester,16,203.62,EUR,Declined,Standard,Mobile Payment
289d99d6-c63d-483c-a0ae-9f83131ece71,21-05-2023,08:01:11,Purchase,Retail,North Peter,8,771.75,GBP,Declined,Gold,Physical Card
a45373fa-0e29-4d61-a2dc-2f4a1c22604d,24-08-2023,07:42:17,ATM Withdrawal,Online Services,Gamblestad,20,68.44,EUR,Declined,Standard,Mobile Payment
d1e77c43-fb8c-4be6-99f3-ab3d4e5c527b,11-07-2023,21:40:00,Purchase,Restaurant,Conniechester,15,702.22,USD,Declined,Gold,Physical Card
fcc3634c-d1d2-46ad-9f25-75766e3b6e9c,08-01-2023,04:54:07,Purchase,Retail,Lake Rickyview,5,269.39,USD,Declined,Standard,Online
1e364dc9-0c17-4832-adc6-fdca4d8357b5,15-02-2023,16:33:17,Purchase,Online Services,North Catherine,15,924.45,GBP,Approved,Gold,Online
d1c72da1-3e60-440b-a58a-854645a99e1e,21-05-2023,16:54:04,Online Payment,Retail,Lake Jennifer,17,322.87,USD,Declined,Platinum,Physical Card
d7b062fd-6215-4999-872d-2005db05c3ea,09-04-2023,18:27:08,ATM Withdrawal,Online Services,Watkinsland,14,296.1,GBP,Approved,Standard,Online
1cd90d0e-3741-4f79-b769-155735bb50aa,10-09-2023,06:42:50,Online Payment,Online Services,Port John,4,524.21,USD,Pending,Gold,Physical Card
6f9895d5-25ea-414b-8855-466b8ee5e957,09-10-2022,13:15:41,Purchase,Online Services,Port Michaelside,10,683.44,USD,Approved,Gold,Online
b7805e86-ebaf-4110-83b4-e06fdb8b79a1,29-12-2022,05:47:32,ATM Withdrawal,Online Services,New Joseph,11,420.07,USD,Declined,Gold,Mobile Payment
2f5fdd1b-680c-4257-a3d9-3e61ad9adf4f,23-01-2023,11:44:10,Online Payment,Restaurant,West Clinton,12,451.47,GBP,Declined,Platinum,Online
3372d838-7f87-4d9f-9f6a-8c12e3ba7116,11-05-2023,02:57:50,Purchase,Restaurant,Lake Mark,5,420.02,GBP,Pending,Standard,Online
7bf8a6c1-7d73-478a-980d-dc430f10c055,10-12-2022,14:27:35,Online Payment,Restaurant,New Brianview,15,917.13,EUR,Approved,Standard,Online
9ea5baf9-b4e2-4a70-b5a1-b9f257201e2d,18-04-2023,13:31:54,ATM Withdrawal,Restaurant,New Marcus,19,642.71,USD,Approved,Standard,Online
d09d9512-e1e5-417e-a018-bee07b0427b7,10-02-2023,00:36:57,Online Payment,Restaurant,Port Dianeside,17,552.53,USD,Pending,Standard,Physical Card
c5d33477-34b4-4ee5-a818-52db23098c51,19-02-2023,23:53:02,Purchase,Restaurant,Lake Brandy,3,980.34,USD,Pending,Standard,Physical Card
403bb179-f7ec-4d07-b6e2-ac47b1720e65,04-09-2023,23:15:52,Online Payment,Restaurant,Geraldview,1,824.58,EUR,Approved,Standard,Online
3634dcdc-135b-4f93-8a2e-d104a2a39b8d,07-05-2023,00:08:31,Online Payment,Restaurant,South Robertstad,5,947.58,USD,Declined,Gold,Mobile Payment
42748d4f-0fa0-4d67-adbb-8b2c9adbcae6,23-06-2023,12:17:05,Online Payment,Restaurant,East Christopher,19,980.6,USD,Declined,Platinum,Physical Card
991b3899-0d6d-43a0-8c15-d0ed3a1dba48,06-09-2023,03:04:58,Online Payment,Retail,Lake Angela,14,349.14,GBP,Pending,Standard,Physical Card
188025bc-d243-4097-8623-c9b07d67134c,19-05-2023,03:42:36,Purchase,Online Services,Wandaton,9,232.41,GBP,Pending,Gold,Mobile Payment
009b5912-2727-4eb6-913e-7c35d26491e5,17-11-2022,15:33:02,Online Payment,Online Services,West Josephmouth,6,593.09,GBP,Approved,Platinum,Mobile Payment
b0c62c46-ae72-45e0-a651-1f706be3980a,10-12-2022,07:36:44,Online Payment,Online Services,Port Raymond,9,800.05,USD,Pending,Platinum,Mobile Payment
3795d012-4a4a-44a6-9acf-6e8f01fcfc4c,17-11-2022,18:26:17,Online Payment,Retail,New Bridgethaven,14,30.54,EUR,Pending,Platinum,Mobile Payment
89f2ec5d-9ba1-45f3-83a4-8977779e0a6e,22-02-2023,08:12:50,ATM Withdrawal,Online Services,Lake Kenneth,8,488.2,EUR,Approved,Gold,Online
6499dcea-672a-4c45-bdb2-a0fb8939d989,17-04-2023,20:10:48,Online Payment,Online Services,New Robert,5,890.51,EUR,Declined,Standard,Mobile Payment
bbffa775-e6d7-475b-b4b0-11191aeb4af2,15-07-2023,15:55:26,Purchase,Online Services,Nathanielborough,4,527.77,GBP,Pending,Gold,Online
f81cbdd0-57f3-42e1-956b-803b5aa12067,28-02-2023,20:30:19,Online Payment,Restaurant,Ericland,10,577.04,EUR,Pending,Gold,Online
1bd48a2b-bda0-452c-af6c-652e54915af7,14-08-2023,02:36:48,Online Payment,Restaurant,Cooperland,6,660.59,EUR,Pending,Standard,Physical Card
68a9db76-33cc-4e12-99e1-614e48183208,14-10-2022,00:52:16,ATM Withdrawal,Restaurant,Bruceborough,2,693.6,GBP,Declined,Standard,Physical Card
8137bcf9-1de3-4522-a376-17f85d7d93d1,02-04-2023,11:17:41,ATM Withdrawal,Restaurant,Port Evan,17,169.95,EUR,Declined,Standard,Physical Card
97cac19c-cbc9-4ce2-909c-c3c7afa3b383,18-09-2023,07:01:54,Online Payment,Restaurant,West Russell,14,921.32,EUR,Declined,Gold,Online
e3bd1bc8-34c9-4342-a08d-8a855a9a2849,09-12-2022,15:54:00,ATM Withdrawal,Online Services,Kingfort,19,918.59,EUR,Pending,Gold,Online
286e4a5e-31bd-400c-916c-6a5f31312756,29-10-2022,15:06:05,Online Payment,Restaurant,Delgadoland,17,942.87,EUR,Pending,Gold,Physical Card
df8997b6-85d8-42d8-8676-321138072f9a,30-10-2022,17:45:10,ATM Withdrawal,Retail,East Angelicachester,8,278.95,EUR,Approved,Gold,Physical Card
ccb99e08-b348-4fb0-9100-64c6864ef976,10-03-2023,19:35:50,ATM Withdrawal,Online Services,West Brianfort,14,343.61,USD,Declined,Standard,Physical Card
55a8b78f-6e87-4293-b01c-a39ac9559b53,25-03-2023,16:07:03,Purchase,Restaurant,Stevenborough,20,388.07,USD,Approved,Platinum,Mobile Payment
3c5365eb-acf4-42dd-a244-0df629f173e8,19-02-2023,07:54:27,ATM Withdrawal,Online Services,Westbury,17,182.84,USD,Pending,Standard,Mobile Payment
d564b341-324a-45ea-884f-bcec32401239,27-08-2023,01:15:19,Purchase,Restaurant,Lake Evelyn,17,20.83,EUR,Declined,Gold,Physical Card
fc493167-9f6d-4c38-9e41-2b11b25437de,30-01-2023,18:32:52,ATM Withdrawal,Online Services,Lake David,11,156.26,GBP,Pending,Standard,Physical Card
4ad54af1-c83e-4d30-b163-084115a1f37f,16-03-2023,15:09:43,Online Payment,Retail,New Michael,4,708.84,USD,Pending,Gold,Physical Card
e855669e-996d-4deb-be57-9a4536b53c50,18-02-2023,07:18:41,ATM Withdrawal,Restaurant,Walshbury,15,514.42,USD,Approved,Platinum,Mobile Payment
5c62087e-8507-4a6f-8d49-361c24377ee8,06-12-2022,01:15:40,Purchase,Online Services,Jasontown,12,820.21,USD,Pending,Standard,Physical Card
1aeb21f8-ff2f-4e09-9533-48b295d6f1fc,08-09-2023,19:44:44,Purchase,Restaurant,Jameschester,5,591.95,USD,Approved,Platinum,Online
aede3a00-2087-43f8-9c6f-4876bdf40abe,13-06-2023,11:45:43,ATM Withdrawal,Retail,Lake Brianstad,12,7.46,GBP,Approved,Gold,Mobile Payment
9a74f55b-8879-448b-92b4-9e7856485d24,09-01-2023,15:09:39,Online Payment,Restaurant,New Kennethmouth,2,522.79,EUR,Approved,Standard,Physical Card
272f5c71-401c-48a9-b48d-fffd2507609d,21-12-2022,23:01:03,ATM Withdrawal,Online Services,Port Marilynmouth,17,936.9,USD,Pending,Standard,Mobile Payment
